# [Plmin, Plcent, Plmax]
4.131336901963649222e-01,5.190000000000000169e-01,6.226952577110084208e-01
1.378066718713930050e-01,2.210000000000000020e-01,3.079122626872232704e-01
1.986860452577464686e-01,2.619000000000000217e-01,3.319300377306324545e-01
-1.642689200395386906e-01,-8.999999999999999667e-02,-7.804826887901558652e-03
-3.624277892448251603e-01,-2.720000000000000195e-01,-1.499470829969775099e-01
6.931402123258776360e-01,7.740000000000000213e-01,8.369944953159054180e-01
-6.109866020177373569e-01,-5.099000000000000199e-01,-4.067355844386244534e-01
-3.039147810242190939e-01,-2.187999999999999945e-01,-1.373293069872169314e-01
-3.222930211645814724e-01,-2.550000000000000044e-01,-1.943143418620592588e-01
7.864695850494138329e-03,9.080000000000000571e-02,1.657522927519875511e-01
1.517423321474953568e-01,2.760000000000000231e-01,3.681238464505717234e-01
-8.030126754940921652e-01,-7.449999999999999956e-01,-6.703944317107272122e-01
# Rows:_Pik e_Pki_|Pik->_P12_P13_P15_P23_P34_P45
